"Protein"	"LL1210_T1_rep1"	"LL1210_T1_rep2"	"LL1210_T1_rep3"	"LL1210_T1_rep4"	"LL1210_T2_rep1"	"LL1210_T2_rep2"	"LL1210_T2_rep3"	"LL1210_T2_rep4"	"LL1210_T3_rep1"	"LL1210_T3_rep2"	"LL1210_T3_rep3"	"LL1210_T3_rep4"	"LL1210_T4_rep1"	"LL1210_T4_rep2"	"LL1210_T4_rep3"	"LL1210_T4_rep4"
"WP_003512269.1"	20.19463	19.53053	19.46704	21.27244	19.40252	19.23882	19.60345	21.06495	19.6537	19.65601	19.20709	19.27993	17.78732	19.17414	19.63878	21.02609
"WP_003517343.1"	20.68405	19.32794	21.16189	19.69205	19.19599	20.99197	22.38196	19.41666	23.80153	24.01879	19.66386	19.06961	21.8096	19.63309	17.60005	24.46786
"WP_003518681.1"	22.29182	22.6464	22.37931	22.38709	22.32475	22.63451	21.96948	22.60905	19.76859	22.44894	22.69568	22.61227	21.87373	22.09077	24.15269	21.89614
"WP_003517341.1"	25.3387	25.84081	24.4801	26.6317	25.11969	25.32593	25.21711	24.63185	25.65805	26.72698	25.73727	26.75989	26.61098	25.55536	25.55342	25.76849
"WP_003514804.1"	22.2596	19.77671	21.01937	21.15778	20.39675	23.67778	21.26299	23.48645	21.8748	22.76737	21.7989	22.27976	22.05716	20.66735	21.42642	22.25242
"WP_003512799.1"	21.12428	23.4131	23.6962	23.76485	23.57667	23.34548	23.96413	23.34713	24.73392	23.64518	23.47842	23.94265	23.74755	23.60911	24.2968	24.03482
"WP_003518046.1"	23.16321	19.88941	22.86166	19.49445	19.6535	19.3198	22.84263	19.21056	19.06874	22.75233	19.77857	23.60676	21.23274	19.74835	22.72509	23.34171
"WP_003512783.1"	25.23845	24.69509	19.54533	19.93218	19.76839	25.4169	19.40311	24.82004	19.88862	24.63594	24.93622	19.5355	18.73551	19.04626	21.12307	19.36508
"WP_003515898.1"	23.3589	22.72252	19.3432	23.6555	19.06852	19.11072	19.8469	19.66711	19.71742	18.94371	22.37562	19.65249	19.81287	19.86876	18.56959	19.15739
"WP_003513828.1"	28.79144	28.95536	28.64484	28.16632	28.9946	29.1647	28.23898	28.30352	28.58552	28.91308	29.33617	28.83996	28.80586	29.0383	28.84286	29.15332
"WP_003518339.1"	21.258	19.20291	19.79096	20.04211	20.77571	19.57388	19.95835	19.78176	17.7035	19.77817	19.07982	18.93981	19.73589	19.69701	19.67122	19.61746
"ADU74726.1"	27.21226	27.44554	27.3344	27.41189	27.00423	27.62306	27.36029	27.15549	26.37048	27.44956	27.40318	27.19281	27.06636	26.92298	27.35342	27.35283
"WP_003514291.1"	26.58998	26.4665	25.92321	24.48063	25.32885	25.53234	25.81927	26.07681	24.89444	26.43428	26.74142	25.60596	24.87634	26.02103	25.03091	26.2486
"ADU74284.1"	19.71225	20.00715	19.9034	19.37249	19.88842	19.69019	19.27947	19.08336	21.18365	19.60392	19.89841	19.77472	19.90046	26.37265	19.5925	26.5122
"WP_003516238.1"	29.44036	29.45195	29.69654	30.01671	29.96978	29.84876	30.15974	29.47093	29.65512	30.14512	29.34643	29.5856	28.52183	29.34616	28.73281	28.76698
"WP_003517353.1"	27.1497	27.27205	27.06886	26.95342	27.9745	28.44481	29.03909	28.16442	29.11548	28.6531	28.79353	28.57269	28.28692	29.04591	28.70937	28.1126
"WP_003514293.1"	24.70438	24.79403	24.4614	24.22227	24.37996	24.4093	24.30278	24.48979	23.56957	22.54401	23.80992	23.33495	22.93384	23.40288	22.73661	23.35818
"WP_003512610.1"	21.25891	19.83921	19.21845	20.15696	19.71721	18.98167	20.07478	19.90154	18.66124	21.35029	21.34711	19.60038	21.77485	17.67665	19.76078	19.73299
"WP_003517370.1"	22.71102	22.09761	23.05546	19.99315	22.82393	19.8117	23.43544	22.66484	21.77653	24.5846	23.42177	23.93464	21.58096	23.35795	24.45657	19.02921
"WP_003519238.1"	23.82763	22.62366	26.86884	22.33059	23.026	19.63838	21.18832	23.07439	23.43894	22.21034	23.05295	22.90353	20.19549	23.1959	27.50297	26.8949
"WP_003518486.1"	27.56693	28.36346	27.60693	26.90888	27.93395	27.58464	27.59155	28.03469	27.60125	27.9159	27.52403	27.28162	27.61066	28.15433	27.92632	28.18754
"WP_003513339.1"	27.07311	29.08595	26.93491	26.82971	26.47022	27.35343	27.06115	26.90719	27.16831	27.4143	27.33266	27.14847	27.09634	27.19594	26.91897	27.56131
"WP_003513857.1"	22.9271	22.15095	24.0803	23.34445	22.84232	22.28466	23.95442	23.26817	21.30528	23.94839	22.24999	23.85302	20.79488	20.13308	20.8961	21.11754
"WP_003511548.1"	25.71084	25.45541	25.89597	25.46018	24.13115	20.42246	25.55966	25.7559	23.4929	24.3	21.35447	24.30862	25.08189	21.16793	25.40147	25.04617
"WP_003517713.1"	24.01229	17.86371	20.02087	18.0662	17.70323	17.59953	21.29546	21.51265	19.74947	17.5542	19.72748	24.64911	20.22084	18.63746	20.06246	19.85369
"WP_003517008.1"	28.24172	26.6553	27.20414	27.40733	26.95397	28.19624	27.33282	27.52556	27.93471	27.50039	27.38902	27.93538	27.04278	26.95785	26.88935	27.23088
"WP_003512248.1"	28.01737	28.00819	27.96703	27.54395	28.02895	28.18857	27.95433	27.99071	28.06255	28.20702	28.14028	27.87898	27.82174	27.805	27.87667	27.87761
"WP_003518554.1"	30.80166	30.76138	30.27475	30.08529	29.89737	30.2911	30.34486	30.32709	30.34067	30.40431	30.10655	30.55122	30.7868	30.40707	30.26426	30.81885
"ADU74165.1"	23.15336	21.27747	21.91614	22.77348	23.11269	23.51765	25.96456	23.13272	24.30806	24.66232	23.17424	23.25906	22.71975	25.58682	23.11285	25.34844
"WP_003512200.1"	30.57849	29.94097	29.71473	28.85219	30.4448	29.64001	29.967	29.63204	29.6779	31.1044	30.48184	31.12159	29.86733	29.88519	29.90863	29.51025
"WP_003519138.1"	21.16007	24.3127	23.84283	24.10765	23.17015	21.96037	22.59815	22.22361	26.44708	23.04821	22.25756	23.62121	24.64213	24.39643	24.6337	23.94073
"WP_003520409.1"	23.15972	22.76496	23.96089	22.27556	22.68765	24.20069	23.43151	23.88414	22.39424	22.05293	24.56599	22.41205	21.44676	22.68577	20.98486	22.35055
"WP_003513333.1"	26.78089	24.96325	27.01741	27.45702	26.7369	26.2836	26.75438	27.00313	26.4771	26.70414	27.45849	25.24769	25.48411	26.24973	26.25455	26.63029
"WP_003514705.1"	26.07484	26.86377	25.93367	26.25394	26.92091	25.15083	26.40102	26.84749	25.91012	25.49393	26.90651	25.63116	26.07825	25.95785	26.51074	25.1911
"WP_003513331.1"	26.60957	25.66624	26.30925	26.59762	26.10315	26.0998	26.70221	25.67774	25.89156	25.90776	26.18219	26.15238	26.11019	25.70235	25.57289	26.39311
"WP_003514703.1"	21.34446	21.91347	19.85332	21.39605	23.28807	21.23409	19.90871	19.73069	25.20835	22.86517	17.71673	17.54954	20.29881	21.29386	22.24665	21.40879
"WP_003515554.1"	23.98529	25.51716	24.83478	23.83148	24.97468	24.78953	24.73411	25.23138	24.47862	24.51688	24.52785	24.03552	23.84527	25.23015	24.23826	24.87728
"WP_003517362.1"	27.39184	28.03394	26.56162	26.34234	28.36877	28.30579	28.35025	28.26598	28.84002	29.08808	28.8832	28.75982	28.66379	29.06397	29.17479	28.55754
"WP_003516177.1"	25.67728	24.48324	26.15544	25.6895	24.65532	25.01206	24.39233	25.21976	23.45785	24.69849	24.84157	25.35277	25.92188	24.69475	25.68846	25.71027
"WP_003516915.1"	19.78764	18.80318	20.34433	21.10759	20.35673	21.12277	17.95513	21.04559	21.53044	21.09622	21.37581	21.09349	20.55067	19.72916	20.08839	19.68153
"WP_003515979.1"	24.48117	19.87065	23.76845	23.3797	23.72957	18.56913	21.33101	23.5453	24.20464	24.00191	24.39275	24.1982	23.27094	19.65115	23.59506	24.62749
"WP_003513337.1"	19.59298	19.79437	17.88226	18.98258	26.14206	19.67083	28.62289	26.25933	19.67171	24.82751	21.1914	27.94569	28.53481	25.72616	28.40995	17.65629
"WP_003513683.1"	28.02154	28.40544	28.0836	28.3017	27.69932	27.98719	28.79138	28.32057	26.83614	27.6982	28.38406	27.44816	28.39198	28.04778	27.67887	27.97471
"WP_003516175.1"	28.57273	29.06665	28.88995	28.75874	28.22208	28.35723	28.5475	28.60064	28.75058	28.90108	28.34488	28.37565	29.14805	28.83512	28.59897	29.2508
"WP_003515310.1"	20.02419	19.95743	21.28834	20.02381	21.18349	19.5921	18.88417	17.72095	19.83794	18.52896	18.67296	18.52484	20.26254	19.81792	20.16811	21.15601
"WP_003518455.1"	27.59694	28.04216	27.87906	26.95525	28.23102	28.26077	28.98519	28.53084	27.89637	29.1548	27.94684	28.44464	27.99294	29.06483	29.54205	28.18613
"WP_003513449.1"	28.42418	27.98231	28.51814	28.42877	28.09718	28.79803	28.20313	28.97847	28.2841	28.6939	29.84157	29.17171	26.80432	28.14775	28.9586	29.07119
"WP_003515915.1"	26.82121	27.20645	25.37066	26.43415	26.6005	26.65233	26.91448	27.21616	26.51521	26.40469	26.8214	26.54682	26.70162	26.78313	26.57506	26.40558
"WP_003516163.1"	28.70156	27.71103	28.04185	27.68523	27.42666	27.41162	27.18553	27.58562	27.90463	27.75099	27.71281	28.11994	27.87158	27.87085	27.38574	27.91171
"WP_003515542.1"	27.5917	27.10147	27.18474	26.3092	26.78191	19.76039	25.97259	27.29583	20.13595	27.21959	27.10339	25.11518	25.94224	25.50792	24.97286	25.71212
"WP_014522638.1"	26.48863	20.24975	21.46868	19.94941	20.87413	21.94314	24.18246	21.19387	20.16155	19.63654	24.97101	24.61978	18.64958	20.11688	20.42564	18.61942
"WP_003514209.1"	20.13248	20.27487	18.81962	20.10846	21.20943	20.98558	19.9398	21.33196	20.24031	19.55739	19.75948	20.95366	20.30341	20.84066	20.13102	19.71376
"WP_003518738.1"	25.91824	25.70068	25.55505	25.3891	25.32577	25.02572	26.47035	24.57379	22.80895	23.8629	24.61967	25.39638	24.22177	24.9234	24.1791	23.80692
"WP_003515569.1"	25.04982	25.2519	24.95318	25.38495	25.6678	23.06519	24.63243	23.1542	26.30795	25.42903	25.8117	25.8177	23.31116	22.73113	24.40288	23.61523
"WP_003512162.1"	19.74744	17.65123	17.91301	18.1813	19.93122	18.0619	19.86436	18.32313	18.95271	19.39594	19.68184	17.73581	20.77786	18.30454	17.91923	19.63556
"WP_003515540.1"	28.11538	28.00903	28.77891	28.28815	27.96563	28.24354	28.28101	27.83498	28.53494	28.49172	28.62193	28.58719	28.37662	28.41009	28.63432	28.50904
"WP_003515565.1"	30.05566	30.07014	30.4365	29.73849	30.46757	30.70458	30.00664	30.81924	30.51168	30.86266	30.56469	31.15964	30.14519	30.57184	31.14812	31.0224
"WP_003513187.1"	24.94662	24.63422	26.10223	25.63245	25.96345	25.97552	25.76718	24.81189	24.77667	26.2365	26.77284	24.97334	27.26174	26.77391	25.82013	25.35493
"WP_003514670.1"	28.57091	27.52274	28.544	28.83742	28.02116	27.95851	28.31704	28.73672	27.75253	27.38699	28.08964	28.34328	26.9448	28.1986	27.81199	26.72762
"WP_003513096.1"	19.47284	25.33097	23.29341	20.3936	18.661	20.06209	20.02562	18.67671	20.49471	19.72658	19.84781	19.63302	20.32041	20.14257	18.48173	19.80273
"WP_003512112.1"	30.33319	29.73942	30.03326	29.42687	29.93923	30.12609	29.47118	30.96354	29.4293	30.35022	29.36003	30.28107	28.89436	29.94577	29.69197	30.211
