Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
WP_003513857.1	24.42735	24.51986	21.71815	24.59888	24.16036	23.02043	20.94136	22.96726	23.6426	22.91354	20.18542	21.15087
WP_003511548.1	25.55787	25.87448	25.05071	25.1083	25.33507	24.69327	24.00278	25.28733	20.45102	23.89697	21.3353	25.28414
WP_003517713.1	19.35166	21.32162	24.78249	21.41197	19.69077	22.76305	23.98541	19.51636	20.36717	19.81504	20.4422	19.93711
WP_003517008.1	27.15303	26.88506	26.87624	28.52586	27.36703	26.65341	27.76147	27.81897	27.79095	26.5221	27.1804	26.85311
WP_003512248.1	27.81131	27.91077	28.20031	27.82703	28.36119	28.31464	27.91991	28.03518	27.85594	28.284	27.31915	28.13875
WP_003518554.1	31.36924	30.94644	30.85373	30.87584	31.39339	31.65177	31.40234	31.15773	30.44488	31.37529	31.13378	31.40465
ADU74165.1	26.97871	22.77364	27.65395	23.12049	27.53079	27.21302	26.30991	22.92354	25.03122	22.00228	20.14844	21.75006
WP_003512200.1	30.552	30.71022	30.56124	30.2768	29.77819	29.33574	29.95905	28.52369	30.34172	30.74384	31.23783	31.28875
WP_003519138.1	20.28337	22.62732	19.58878	23.06766	22.68838	21.88414	23.31643	25.32106	24.9521	25.00744	18.50396	23.8283
WP_003520409.1	23.96902	24.55405	23.92604	24.00457	24.1028	24.38853	24.03203	23.70605	22.70894	24.40981	23.46701	23.45883
WP_003513333.1	26.84256	26.86601	26.86482	27.79196	27.20617	27.13391	27.15049	26.90598	20.61606	28.13389	26.66129	27.94282
WP_003514705.1	18.93753	26.36954	25.2722	25.18942	25.88397	26.86999	26.53193	26.14962	25.04166	25.32921	26.16294	25.18746
WP_003513331.1	26.35334	26.34059	26.62011	26.22127	26.13611	26.90769	26.40311	26.75479	26.34532	26.584	25.76618	26.2858
WP_003514703.1	20.40782	24.49466	23.96562	22.34229	24.97833	19.63307	20.6507	23.3464	19.50543	23.93447	20.19011	19.96357
WP_003515554.1	25.20284	25.12974	25.38022	25.14437	25.70735	24.34124	24.85056	24.84955	24.76239	24.93175	23.87987	25.07793
