C0 (205 genes)	C1 (144 genes)	C2 (75 genes)	C3 (77 genes)	C4 (94 genes)	C5 (136 genes)	C6 (183 genes)	C7 (90 genes)	C8 (93 genes)	C9 (64 genes)	C10 (65 genes)
WP_003514326.1	WP_003515912.1	WP_003518901.1	WP_003518656.1	WP_003518303.1	WP_003515904.1	WP_003514851.1	WP_003518337.1	WP_003517491.1		
WP_003514331.1	WP_003515926.1	WP_003519104.1	WP_003518725.1	WP_003518379.1	WP_003515928.1	WP_003514987.1	WP_003518355.1	WP_003517501.1		
WP_003514333.1	WP_003515954.1	WP_003519430.1	WP_003518743.1	WP_003518388.1	WP_003515979.1	WP_003515018.1	WP_003518481.1	WP_003517588.1		
WP_003514472.1	WP_003516077.1	WP_003519740.1	WP_003518761.1	WP_003518455.1	WP_003516073.1	WP_003515048.1	WP_003518542.1	WP_003517715.1		
WP_003514572.1	WP_003516139.1	WP_003520983.1	WP_003519168.1	WP_003518457.1	WP_003516184.1	WP_003515361.1	WP_003518584.1	WP_003517986.1		
WP_003514645.1	WP_003516143.1	WP_014522611.1	WP_003519322.1	WP_003518478.1	WP_003516352.1	WP_003515370.1	WP_003518712.1	WP_003517996.1		
WP_003514649.1	WP_003516251.1	WP_014522644.1	WP_003519369.1	WP_003518671.1	WP_003516406.1	WP_003515408.1	WP_003518745.1	WP_003518235.1		
WP_003514658.1	WP_003516284.1		WP_003520797.1	WP_003518716.1	WP_003516452.1	WP_003515434.1	WP_003518858.1	WP_003518357.1		
WP_003514672.1	WP_003516314.1		WP_003521254.1	WP_003518738.1	WP_003516468.1	WP_003515456.1	WP_003518865.1	WP_003518361.1		
WP_003514677.1	WP_003516462.1			WP_003518751.1	WP_003516561.1	WP_003515457.1	WP_003518876.1	WP_003518454.1		
WP_003514847.1	WP_003516483.1			WP_003518813.1	WP_003516579.1	WP_003515511.1	WP_003518914.1	WP_003518528.1		
WP_003514876.1	WP_003516525.1			WP_003518814.1	WP_003516665.1	WP_003515515.1	WP_003518957.1	WP_003518590.1		
WP_003514880.1	WP_003516573.1			WP_003518893.1	WP_003516667.1	WP_003515531.1	WP_003519008.1	WP_003518626.1		
WP_003515021.1	WP_003516592.1			WP_003518927.1	WP_003516668.1	WP_003515542.1	WP_003519140.1	WP_003518740.1		
WP_003515023.1	WP_003516619.1			WP_003519058.1	WP_003516691.1	WP_003515667.1	WP_003519292.1	WP_003518863.1		
WP_003515025.1	WP_003516702.1			WP_003519059.1	WP_003516759.1	WP_003515686.1	WP_003519391.1	WP_003518903.1		
WP_003515275.1	WP_003516867.1			WP_003519132.1	WP_003516833.1	WP_003515703.1	WP_003519665.1	WP_003518917.1		
