ProteinID	GO
WP_003511651.1	GO:0005344,GO:0046872,GO:0015671
WP_003511653.1	GO:0005506,GO:0048037,GO:0055114,GO:0010181
WP_003511658.1	GO:0102391,GO:0003824,GO:0004467,GO:0008152,GO:0001676,GO:0003996
WP_003511662.1	GO:0055114,GO:0016491
WP_003511665.1	GO:0016021,GO:0016851
WP_003511666.1	GO:0030248,GO:0016998,GO:0000272,GO:0004553,GO:0045491
WP_003511667.1	GO:0098869,GO:0003824,GO:0004064,GO:0004601
WP_003511668.1	GO:0016021
WP_003511670.1	GO:0004252,GO:0005618,GO:0007229,GO:0016020,GO:0030246,GO:0000272,GO:0005509,GO:0004553,GO:0006508
WP_003511673.1	GO:0003700,GO:0006355,GO:0001067,GO:0003677
WP_003511674.1	GO:0016021,GO:0022900,GO:0010181,GO:0009055
WP_003511675.1	GO:0045892,GO:0003677
WP_003511676.1	GO:0016021
WP_003511677.1	GO:0042626,GO:0016021,GO:0016887,GO:0055085,GO:0005524
WP_003511680.1	GO:0015889,GO:0015420,GO:0009236,GO:0016021,GO:0016020,GO:0044464,GO:0005623,GO:0005575,GO:0071944,GO:0005886,GO:0048472,GO:0016874,GO:0005576
WP_003511681.1	GO:0009236,GO:0016310,GO:0009235,GO:0044249,GO:0034641,GO:0006807,GO:0003674,GO:0044281,GO:0044283,GO:1901362,GO:0043752,GO:0044699,GO:1901576,GO:0044710,GO:0044711,GO:0051188,GO:0000166,GO:0071704,GO:0016740,GO:0033014,GO:0033013,GO:1901360,GO:0005524,GO:0005525,GO:0006767,GO:0006766,GO:0008819,GO:0009987,GO:0006725,GO:0051716,GO:0006974,GO:0003824,GO:0009058,GO:0009110,GO:0008150,GO:0008152,GO:0019438,GO:0044271,GO:0046483,GO:0016779,GO:1901564,GO:1901566,GO:0016773,GO:0016772,GO:0050896,GO:0016301,GO:0042364,GO:0006950,GO:0006796,GO:0033554,GO:0006793,GO:0008820,GO:0044763,GO:0044237,GO:0018130,GO:0070568
WP_003511682.1	GO:0009236,GO:0016310,GO:0016021,GO:0016020,GO:0044464,GO:0008818,GO:0051073,GO:0008939,GO:0005575,GO:0071944,GO:0005623,GO:0005886,GO:0000166,GO:0043752
WP_003511683.1	GO:0009236,GO:0016311,GO:0003824,GO:0008152,GO:0043755
WP_003511686.1	GO:0018106,GO:0019825,GO:0006935,GO:0020037,GO:0000155,GO:0016021,GO:0016020,GO:0071555,GO:0004888,GO:0007165,GO:0004871,GO:0046872
WP_003511688.1	GO:0008652,GO:0051539,GO:0004409,GO:0047868,GO:0008152,GO:0003861
WP_003511692.1	GO:0005737,GO:0008757,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0006364,GO:0044424,GO:0008168,GO:0032259,GO:0003723
WP_003511696.1	GO:0031118,GO:0009451,GO:0090304,GO:0034641,GO:0006807,GO:0003674,GO:0034660,GO:0000455,GO:0016866,GO:0001522,GO:0071840,GO:0006139,GO:0044260,GO:0016829,GO:0042254,GO:0071704,GO:0010467,GO:0006364,GO:0022613,GO:0016787,GO:0034470,GO:0009987,GO:0006725,GO:0009982,GO:0003824,GO:0043412,GO:0008150,GO:0008152,GO:0046483,GO:0016070,GO:0044238,GO:0016072,GO:0016853,GO:0000154,GO:0044237,GO:0043170,GO:0044085,GO:0003723,GO:1901360,GO:0006396
WP_003511705.1	GO:0005737,GO:0043565,GO:0006355,GO:0003700,GO:0000160,GO:0003824,GO:0003677
WP_003511707.1	GO:0000413,GO:0016021,GO:0003755,GO:0016853
WP_003511713.1	GO:0005737,GO:0001727,GO:0008654,GO:0016310,GO:0016021,GO:0000287,GO:0007205,GO:0016301,GO:0005524,GO:0008152,GO:0003951,GO:0030258,GO:0004143
