Protein	Locus
ADU73475.1	Clo1313_0385
ADU73864.1	Clo1313_0791
WP_003517651.1	Clo1313_1665
WP_003511791.1	Clo1313_0747
ADU73803.1	Clo1313_0725
ADU74703.1	Clo1313_1645
ADU75688.1	Clo1313_2704
WP_020458025.1	Clo1313_0673
WP_003513688.1	Clo1313_2848
ADU74382.1	Clo1313_1319
ADU74727.1	Clo1313_1670
WP_003515912.1	Clo1313_2440
WP_003517383.1	Clo1313_2318
ADU74170.1	Clo1313_1106
WP_003517105.1	Clo1313_0894
WP_003517741.1	Clo1313_2276
ADU74251.1	Clo1313_1187
WP_003517830.1	Clo1313_2232
ADU75356.1	Clo1313_2334
ADU73868.1	Clo1313_0795
WP_003518909.1	Clo1313_2546
ADU75715.1	Clo1313_2731
WP_003516142.1	Clo1313_0710
WP_003512548.1	Clo1313_1903
WP_003517377.1	Clo1313_2323
WP_003516897.1	Clo1313_0594
ADU74682.1	Clo1313_1621
ADU75709.1	Clo1313_2725
ADU73454.1	Clo1313_0364
WP_003517102.1	Clo1313_0895
ADU75324.1	Clo1313_2296
WP_003516498.1	Clo1313_1629
ADU75030.1	Clo1313_1983
ADU74446.1	Clo1313_1383
WP_003515373.1	Clo1313_0299
WP_003518261.1	Clo1313_0854
WP_003512101.1	Clo1313_2128
WP_003516311.1	Clo1313_1458
WP_003516153.1	Clo1313_0693
ADU74942.1	Clo1313_1890
ADU74097.1	Clo1313_1029
WP_003513945.1	Clo1313_2622
WP_003514601.1	Clo1313_0436
WP_003515363.1	Clo1313_0314
WP_003517395.1	Clo1313_2310
WP_003515908.1	Clo1313_2442
ADU75481.1	Clo1313_2468
WP_003511573.1	Clo1313_0639
ADU73508.1	Clo1313_0419
ADU75806.1	Clo1313_2826
WP_003519428.1	Clo1313_1079
ADU75477.1	Clo1313_2463
ADU75306.1	Clo1313_2275
WP_003519243.1	Clo1313_0792
WP_003511665.1	Clo1313_0684
ADU75262.1	Clo1313_2228
WP_003511605.1	Clo1313_0653
ADU74974.1	Clo1313_1924
WP_003513925.1	Clo1313_2613
ADU75788.1	Clo1313_2808
ADU73982.1	Clo1313_0914
ADU74953.1	Clo1313_1902
WP_003512682.1	Clo1313_1828
ADU75413.1	Clo1313_2396
ADU75091.1	Clo1313_2050
WP_003515820.1	Clo1313_2482
ADU73648.1	Clo1313_0566
WP_003517967.1	Clo1313_1745
ADU75594.1	Clo1313_2593
ADU75926.1	Clo1313_2946
WP_003517073.1	Clo1313_0906
WP_003518614.1	Clo1313_1276
WP_014522595.1	Clo1313_0628
WP_003516641.1	Clo1313_1559
WP_003517266.1	Clo1313_1313
WP_003515902.1	Clo1313_2445
ADU74501.1	Clo1313_1439
ADU73694.1	Clo1313_0614
ADU75206.1	Clo1313_2166
WP_003513452.1	Clo1313_2977
WP_003516053.1	Clo1313_0765
ADU75167.1	Clo1313_2126
ADU74788.1	Clo1313_1731
ADU73769.1	Clo1313_0690
ADU74448.1	Clo1313_1385
ADU75873.1	Clo1313_2893
ADU73795.1	Clo1313_0717
WP_003512946.1	Clo1313_0201
WP_003518538.1	Clo1313_0479
ADU73775.1	Clo1313_0697
ADU75461.1	Clo1313_2447
ADU74843.1	Clo1313_1787
WP_003519448.1	Clo1313_1644
ADU75630.1	Clo1313_2630
WP_003513209.1	Clo1313_0062
ADU75514.1	Clo1313_2504
ADU75197.1	Clo1313_2156
ADU75387.1	Clo1313_2370
ADU75052.1	Clo1313_2008
ADU74023.1	Clo1313_0955
WP_003511986.1	Clo1313_2179
WP_003518403.1	Clo1313_2171
ADU74460.1	Clo1313_1397
ADU73283.1	Clo1313_0188
WP_003514166.1	Clo1313_2738
WP_003520349.1	Clo1313_1720
ADU73884.1	Clo1313_0815
ADU73160.1	Clo1313_0061
ADU74581.1	Clo1313_1519
ADU73724.1	Clo1313_0644
WP_003517294.1	Clo1313_2367
WP_003516676.1	Clo1313_1541
ADU74870.1	Clo1313_1814
ADU75629.1	Clo1313_2629
WP_003516704.1	Clo1313_2784
WP_003518280.1	Clo1313_0848
ADU73168.1	Clo1313_0070
ADU74890.1	Clo1313_1834
ADU73748.1	Clo1313_0668
ADU75635.1	Clo1313_2635
WP_003518540.1	Clo1313_0478
WP_003512448.1	Clo1313_1944
ADU73186.1	Clo1313_0089
WP_003512281.1	Clo1313_2033
WP_003515584.1	Clo1313_1200
ADU74594.1	Clo1313_1532
ADU73872.1	Clo1313_0800
ADU75961.1	Clo1313_2983
ADU75526.1	Clo1313_2521
WP_003515019.1	Clo1313_0311
WP_003519474.1	Clo1313_0782
WP_003516304.1	Clo1313_1462
WP_003517957.1	Clo1313_1750
ADU74015.1	Clo1313_0947
WP_003516423.1	Clo1313_0051
WP_003518536.1	Clo1313_0480
WP_003517630.1	Clo1313_1676
WP_003513676.1	Clo1313_2853
ADU74708.1	Clo1313_1651
WP_003514136.1	Clo1313_2725
WP_003512494.1	Clo1313_1922
ADU73434.1	Clo1313_0343
ADU74700.1	Clo1313_1642
ADU73414.1	Clo1313_0323
WP_003519210.1	Clo1313_0802
ADU75881.1	Clo1313_2901
WP_003518034.1	Clo1313_2077
WP_003513859.1	Clo1313_2583
ADU73381.1	Clo1313_0290
WP_003516364.1	Clo1313_1434
ADU76001.1	Clo1313_3023
ADU73905.1	Clo1313_0836
WP_003515550.1	Clo1313_1218
WP_003516286.1	Clo1313_1471
ADU74483.1	Clo1313_1421
WP_003513368.1	Clo1313_3020
WP_003517711.1	Clo1313_2293
WP_003512126.1	Clo1313_2116
ADU74762.1	Clo1313_1705
WP_003515921.1	Clo1313_2436
ADU73836.1	Clo1313_0758
ADU73919.1	Clo1313_0850
ADU74274.1	Clo1313_1210
ADU73188.1	Clo1313_0091
ADU75981.1	Clo1313_3003
WP_003516935.1	Clo1313_0538
WP_003512569.1	Clo1313_1894
WP_003519228.1	Clo1313_0799
WP_003511642.1	Clo1313_0668
ADU74649.1	Clo1313_1588
ADU75448.1	Clo1313_2434
ADU74754.1	Clo1313_1697
ADU73503.1	Clo1313_0414
WP_003516668.1	Clo1313_1545
WP_003519337.1	Clo1313_1902
WP_003517773.1	Clo1313_2261
ADU74629.1	Clo1313_1568
ADU74094.1	Clo1313_1026
ADU74341.1	Clo1313_1278
WP_003512987.1	Clo1313_0181
WP_003516511.1	Clo1313_1623
ADU75301.1	Clo1313_2270
ADU75280.1	Clo1313_2248
ADU73513.1	Clo1313_0424
WP_003518885.1	Clo1313_1040
ADU73806.1	Clo1313_0728
ADU74692.1	Clo1313_1631
WP_003518341.1	Clo1313_0137
ADU74135.1	Clo1313_1071
ADU73530.1	Clo1313_0441
ADU75296.1	Clo1313_2264
ADU75027.1	Clo1313_1980
WP_003513964.1	Clo1313_2638
WP_003517198.1	Clo1313_1349
WP_003515797.1	Clo1313_2497
WP_003518771.1	Clo1313_1380
WP_003513825.1	Clo1313_2558
WP_003518355.1	Clo1313_0126
ADU74254.1	Clo1313_1190
ADU73248.1	Clo1313_0152
WP_003515752.1	Clo1313_1113
ADU73838.1	Clo1313_0760
WP_003516018.1	Clo1313_2399
ADU74699.1	Clo1313_1638
WP_003512660.1	Clo1313_1847
WP_003514607.1	Clo1313_0439
ADU74536.1	Clo1313_1474
ADU74635.1	Clo1313_1574
WP_003512907.1	Clo1313_0225
ADU73697.1	Clo1313_0617
WP_003517551.1	Clo1313_0958
WP_003518311.1	Clo1313_0833
ADU73136.1	Clo1313_0036
ADU75793.1	Clo1313_2813
ADU73999.1	Clo1313_0931
WP_003513455.1	Clo1313_2974
WP_003516251.1	Clo1313_1495
WP_003511534.1	Clo1313_0620
WP_003517023.1	Clo1313_0930
ADU75446.1	Clo1313_2432
ADU75569.1	Clo1313_2565
WP_003519028.1	Clo1313_1807
WP_003517044.1	Clo1313_0919
WP_003514209.1	Clo1313_2759
ADU74218.1	Clo1313_1154
WP_003512864.1	Clo1313_0247
WP_003514987.1	Clo1313_2677
WP_003516115.1	Clo1313_0726
ADU74260.1	Clo1313_1196
ADU74818.1	Clo1313_1761
WP_003516259.1	Clo1313_1491
WP_003517539.1	Clo1313_0965
ADU73796.1	Clo1313_0718
WP_003514215.1	Clo1313_2762
WP_003516416.1	Clo1313_0064
WP_003517491.1	Clo1313_0995
WP_003516507.1	Clo1313_1625
WP_003518734.1	Clo1313_1399
ADU74838.1	Clo1313_1782
WP_003512038.1	Clo1313_2152
ADU73260.1	Clo1313_0165
WP_003517137.1	Clo1313_1374
WP_003519383.1	Clo1313_0884
WP_003519292.1	Clo1313_1916
ADU75029.1	Clo1313_1982
WP_003517032.1	Clo1313_0926
WP_003518220.1	Clo1313_0872
ADU75823.1	Clo1313_2843
WP_003520688.1	Clo1313_2379
WP_003515799.1	Clo1313_2496
ADU73143.1	Clo1313_0043
WP_003513023.1	Clo1313_0148
WP_003518714.1	Clo1313_1411
ADU73167.1	Clo1313_0068
WP_003519332.1	Clo1313_1912
ADU73987.1	Clo1313_0919
WP_003515324.1	Clo1313_0364
WP_003517972.1	Clo1313_1742
WP_003516812.1	Clo1313_2872
ADU73422.1	Clo1313_0331
WP_003513572.1	Clo1313_2915
WP_003516759.1	Clo1313_2744
WP_003514228.1	Clo1313_2775
ADU75541.1	Clo1313_2537
WP_003515802.1	Clo1313_2494
WP_011837926.1	Clo1313_1311
ADU73624.1	Clo1313_0540
WP_003514890.1	Clo1313_0558
WP_003514026.1	Clo1313_2670
WP_003516093.1	Clo1313_0750
ADU73997.1	Clo1313_0929
ADU75832.1	Clo1313_2852
WP_003514562.1	Clo1313_0420
WP_003512712.1	Clo1313_1812
WP_003516110.1	Clo1313_0730
WP_003518577.1	Clo1313_1294
ADU74308.1	Clo1313_1244
ADU74554.1	Clo1313_1492
WP_003512963.1	Clo1313_0193
ADU75573.1	Clo1313_2570
WP_003515313.1	Clo1313_0370
WP_003519477.1	Clo1313_0779
ADU75918.1	Clo1313_2938
ADU73234.1	Clo1313_0138
ADU75172.1	Clo1313_2131
WP_003518669.1	Clo1313_1849
ADU74012.1	Clo1313_0944
WP_003518879.1	Clo1313_1043
ADU73349.1	Clo1313_0255
ADU75095.1	Clo1313_2054
ADU75241.1	Clo1313_2201
WP_003517633.1	Clo1313_1674
WP_003515290.1	Clo1313_0389
WP_003517179.1	Clo1313_1358
WP_003514554.1	Clo1313_0417
WP_003517592.1	Clo1313_1696
WP_003517982.1	Clo1313_1736
ADU75557.1	Clo1313_2553
ADU74181.1	Clo1313_1117
WP_003514573.1	Clo1313_0422
ADU74604.1	Clo1313_1542
ADU74312.1	Clo1313_1249
ADU73341.1	Clo1313_0247
ADU75927.1	Clo1313_2947
WP_003520686.1	Clo1313_2380
ADU75434.1	Clo1313_2418
WP_003513122.1	Clo1313_0104
ADU74910.1	Clo1313_1857
WP_003513615.1	Clo1313_2893
ADU75229.1	Clo1313_2189
ADU74671.1	Clo1313_1610
WP_003518769.1	Clo1313_1381
ADU74229.1	Clo1313_1165
ADU73616.1	Clo1313_0531
ADU74189.1	Clo1313_1125
ADU73851.1	Clo1313_0778
ADU75965.1	Clo1313_2987
WP_003521649.1	Clo1313_2911
WP_003517787.1	Clo1313_2252
ADU74918.1	Clo1313_1866
ADU75945.1	Clo1313_2967
WP_003518775.1	Clo1313_1378
ADU75979.1	Clo1313_3001
WP_003517507.1	Clo1313_0979
ADU75147.1	Clo1313_2106
WP_003512220.1	Clo1313_2068
ADU75196.1	Clo1313_2155
ADU74680.1	Clo1313_1619
ADU75182.1	Clo1313_2141
WP_003517657.1	Clo1313_1662
ADU73363.1	Clo1313_0272
WP_003514463.1	Clo1313_0391
WP_003512363.1	Clo1313_1993
WP_003513400.1	Clo1313_3003
ADU75971.1	Clo1313_2993
WP_003516698.1	Clo1313_2790
WP_003520820.1	Clo1313_1797
WP_003517754.1	Clo1313_2270
ADU73897.1	Clo1313_0828
WP_003512615.1	Clo1313_1869
ADU74532.1	Clo1313_1470
ADU74209.1	Clo1313_1145
ADU73558.1	Clo1313_0469
WP_003515764.1	Clo1313_1107
WP_003516351.1	Clo1313_1445
WP_003516868.1	Clo1313_2824
ADU74388.1	Clo1313_1325
ADU73373.1	Clo1313_0282
WP_003515744.1	Clo1313_1117
WP_003519149.1	Clo1313_1090
ADU73578.1	Clo1313_0489
WP_003519334.1	Clo1313_1906
WP_003517774.1	Clo1313_2260
ADU75612.1	Clo1313_2612
ADU74040.1	Clo1313_0972
ADU75000.1	Clo1313_1953
ADU74060.1	Clo1313_0992
WP_003515871.1	Clo1313_2459
ADU73863.1	Clo1313_0790
ADU74215.1	Clo1313_1151
ADU73873.1	Clo1313_0801
WP_003515843.1	Clo1313_2471
ADU74376.1	Clo1313_1313
ADU75727.1	Clo1313_2743
ADU75933.1	Clo1313_2954
WP_003519255.1	Clo1313_2695
ADU75676.1	Clo1313_2687
ADU74068.1	Clo1313_1000
ADU73719.1	Clo1313_0639
ADU73847.1	Clo1313_0771
ADU75227.1	Clo1313_2187
WP_003513826.1	Clo1313_2559
WP_003513535.1	Clo1313_2929
ADU75596.1	Clo1313_2595
WP_003520797.1	Clo1313_2020
ADU73972.1	Clo1313_0904
WP_003511913.1	Clo1313_2214
ADU75737.1	Clo1313_2753
WP_003512262.1	Clo1313_2049
WP_003517004.1	Clo1313_0940
WP_003514859.1	Clo1313_0573
WP_003518007.1	Clo1313_1712
WP_003516211.1	Clo1313_1513
WP_003513521.1	Clo1313_2937
WP_003519155.1	Clo1313_1087
ADU75497.1	Clo1313_2485
ADU73542.1	Clo1313_0453
ADU74503.1	Clo1313_1441
ADU75153.1	Clo1313_2112
WP_003515926.1	Clo1313_2434
WP_003518448.1	Clo1313_2624
ADU74207.1	Clo1313_1143
ADU74386.1	Clo1313_1323
ADU74174.1	Clo1313_1110
WP_003516520.1	Clo1313_1618
ADU73492.1	Clo1313_0402
WP_003516173.1	Clo1313_1531
WP_003513047.1	Clo1313_0142
WP_003517935.1	Clo1313_1762
ADU73883.1	Clo1313_0814
ADU75352.1	Clo1313_2330
ADU75711.1	Clo1313_2727
ADU74662.1	Clo1313_1601
ADU73113.1	Clo1313_0013
WP_003519061.1	Clo1313_1791
ADU75121.1	Clo1313_2080
ADU74723.1	Clo1313_1666
ADU75376.1	Clo1313_2354
WP_003513808.1	Clo1313_2549
ADU73201.1	Clo1313_0104
ADU75060.1	Clo1313_2016
WP_003512050.1	Clo1313_2149
ADU74658.1	Clo1313_1597
WP_003515904.1	Clo1313_2444
WP_003514893.1	Clo1313_0557
WP_003514843.1	Clo1313_0584
ADU75328.1	Clo1313_2301
ADU73922.1	Clo1313_0853
ADU75348.1	Clo1313_2326
ADU75135.1	Clo1313_2094
WP_003515619.1	Clo1313_1180
WP_003512179.1	Clo1313_2088
ADU74418.1	Clo1313_1355
WP_003516540.1	Clo1313_1608
WP_003518265.1	Clo1313_0852
WP_003513913.1	Clo1313_2607
ADU73126.1	Clo1313_0026
ADU73585.1	Clo1313_0496
ADU74893.1	Clo1313_1840
ADU75839.1	Clo1313_2859
ADU73731.1	Clo1313_0651
ADU73946.1	Clo1313_0878
ADU75637.1	Clo1313_2638
ADU74946.1	Clo1313_1895
WP_003515642.1	Clo1313_1169
WP_003512697.1	Clo1313_1821
ADU73316.1	Clo1313_0222
ADU75266.1	Clo1313_2233
WP_003516952.1	Clo1313_0523
WP_003512250.1	Clo1313_2054
WP_003511601.1	Clo1313_0649
ADU73591.1	Clo1313_0502
ADU75570.1	Clo1313_2567
ADU73174.1	Clo1313_0076
ADU73233.1	Clo1313_0137
ADU73656.1	Clo1313_0574
WP_003513145.1	Clo1313_0092
WP_003519180.1	Clo1313_0815
WP_003515638.1	Clo1313_1171
ADU75433.1	Clo1313_2417
WP_003515293.1	Clo1313_0385
ADU75242.1	Clo1313_2202
ADU73320.1	Clo1313_0226
ADU73671.1	Clo1313_0589
ADU74430.1	Clo1313_1367
WP_003515836.1	Clo1313_2474
WP_003513888.1	Clo1313_2595
ADU74565.1	Clo1313_1503
ADU73611.1	Clo1313_0526
WP_003515712.1	Clo1313_1131
ADU74933.1	Clo1313_1881
ADU74152.1	Clo1313_1088
WP_003517139.1	Clo1313_1373
ADU74917.1	Clo1313_1865
ADU74579.1	Clo1313_1517
ADU74537.1	Clo1313_1475
WP_003516491.1	Clo1313_1633
WP_003515830.1	Clo1313_2477
WP_003512344.1	Clo1313_2000
WP_003517262.1	Clo1313_1315
WP_003518620.1	Clo1313_1273
ADU74784.1	Clo1313_1727
WP_003512585.1	Clo1313_1880
WP_003513624.1	Clo1313_2888
WP_003517270.1	Clo1313_1310
WP_003515703.1	Clo1313_1135
WP_003516667.1	Clo1313_1546
ADU73318.1	Clo1313_0224
ADU73955.1	Clo1313_0887
ADU75939.1	Clo1313_2961
WP_003517278.1	Clo1313_1305
ADU74027.1	Clo1313_0959
ADU74464.1	Clo1313_1401
ADU74847.1	Clo1313_1791
ADU74232.1	Clo1313_1168
ADU73771.1	Clo1313_0692
ADU75510.1	Clo1313_2499
ADU73751.1	Clo1313_0671
WP_003512577.1	Clo1313_1887
ADU73736.1	Clo1313_0656
ADU75506.1	Clo1313_2495
ADU74043.1	Clo1313_0975
WP_003517223.1	Clo1313_1332
WP_003517648.1	Clo1313_1667
WP_003513246.1	Clo1313_0043
ADU75214.1	Clo1313_2174
WP_003514478.1	Clo1313_0396
WP_004463341.1	Clo1313_1470
WP_003512707.1	Clo1313_1814
WP_003512006.1	Clo1313_2664
ADU75624.1	Clo1313_2624
WP_003514876.1	Clo1313_0565
ADU73744.1	Clo1313_0664
WP_003514927.1	Clo1313_0537
WP_003516588.1	Clo1313_1584
WP_003516977.1	Clo1313_0952
WP_003519571.1	Clo1313_2511
WP_003518165.1	Clo1313_1972
ADU74256.1	Clo1313_1192
ADU74973.1	Clo1313_1923
WP_003512797.1	Clo1313_0283
WP_003518702.1	Clo1313_1418
ADU74357.1	Clo1313_1294
WP_003514804.1	Clo1313_0600
ADU73800.1	Clo1313_0722
WP_003518046.1	Clo1313_2075
ADU73398.1	Clo1313_0307
ADU74790.1	Clo1313_1733
WP_003518339.1	Clo1313_0139
ADU74031.1	Clo1313_0963
WP_003518874.1	Clo1313_1047
WP_003512787.1	Clo1313_0287
ADU74724.1	Clo1313_1667
WP_003514293.1	Clo1313_2802
WP_003512610.1	Clo1313_1871
ADU74177.1	Clo1313_1113
ADU75716.1	Clo1313_2732
ADU73410.1	Clo1313_0319
WP_003511548.1	Clo1313_0625
ADU73470.1	Clo1313_0380
WP_003519138.1	Clo1313_1096
WP_003518736.1	Clo1313_1398
WP_003514092.1	Clo1313_2696
WP_003513333.1	Clo1313_0005
WP_003514705.1	Clo1313_0497
ADU73457.1	Clo1313_0367
ADU75685.1	Clo1313_2700
WP_003515554.1	Clo1313_1216
WP_003517362.1	Clo1313_2332
ADU73921.1	Clo1313_0852
ADU74373.1	Clo1313_1310
WP_003512937.1	Clo1313_0205
ADU75033.1	Clo1313_1986
WP_003516163.1	Clo1313_1537
WP_014522638.1	Clo1313_2507
WP_003512482.1	Clo1313_1928
WP_003515569.1	Clo1313_1208
WP_003512162.1	Clo1313_2097
ADU74098.1	Clo1313_1030
ADU74716.1	Clo1313_1659
ADU75690.1	Clo1313_2706
ADU75482.1	Clo1313_2469
ADU73507.1	Clo1313_0418
WP_003517412.1	Clo1313_2300
ADU75305.1	Clo1313_2274
WP_003511662.1	Clo1313_0681
WP_003515581.1	Clo1313_1202
WP_003513956.1	Clo1313_2633
ADU73981.1	Clo1313_0913
ADU74963.1	Clo1313_1912
ADU74082.1	Clo1313_1014
WP_003516156.1	Clo1313_0682
WP_003513132.1	Clo1313_0099
WP_003516575.1	Clo1313_1592
ADU74103.1	Clo1313_1035
WP_003513185.1	Clo1313_0075
WP_003513098.1	Clo1313_0117
ADU74943.1	Clo1313_1891
WP_003511963.1	Clo1313_2191
ADU75152.1	Clo1313_2111
ADU74619.1	Clo1313_1557
WP_003513744.1	Clo1313_2520
WP_003514623.1	Clo1313_0446
WP_003516818.1	Clo1313_2869
WP_020457866.1	Clo1313_0153
WP_014522592.1	Clo1313_0522
WP_003513940.1	Clo1313_2620
WP_003516561.1	Clo1313_1599
WP_003518712.1	Clo1313_1412
ADU75787.1	Clo1313_2807
ADU73882.1	Clo1313_0813
ADU75472.1	Clo1313_2458
ADU73693.1	Clo1313_0613
ADU74956.1	Clo1313_1905
WP_003521161.1	Clo1313_1831
WP_003513451.1	Clo1313_2978
WP_003513790.1	Clo1313_2543
WP_003518398.1	Clo1313_2177
ADU75404.1	Clo1313_2387
WP_003513463.1	Clo1313_2969
WP_003516390.1	Clo1313_1425
WP_003516468.1	Clo1313_3029
ADU73163.1	Clo1313_0064
ADU75936.1	Clo1313_2957
WP_003512017.1	Clo1313_2167
ADU74119.1	Clo1313_1051
ADU73397.1	Clo1313_0306
ADU75797.1	Clo1313_2817
WP_003517027.1	Clo1313_0928
WP_003518900.1	Clo1313_1031
ADU73683.1	Clo1313_0601
WP_003518507.1	Clo1313_0503
WP_003512882.1	Clo1313_0238
ADU73776.1	Clo1313_0698
WP_003511526.1	Clo1313_0617
WP_003516552.1	Clo1313_1604
ADU75450.1	Clo1313_2436
WP_003519387.1	Clo1313_0882
ADU73264.1	Clo1313_0169
ADU75390.1	Clo1313_2373
WP_003513238.1	Clo1313_0049
WP_003519296.1	Clo1313_2584
ADU75051.1	Clo1313_2006
ADU74463.1	Clo1313_1400
WP_003514211.1	Clo1313_2760
WP_003519459.1	Clo1313_0823
ADU73284.1	Clo1313_0189
WP_003517508.1	Clo1313_0978
WP_003514231.1	Clo1313_2778
ADU75525.1	Clo1313_2520
WP_003516293.1	Clo1313_1468
WP_003516239.1	Clo1313_1501
ADU73339.1	Clo1313_0245
ADU74822.1	Clo1313_1765
WP_003514256.1	Clo1313_2798
WP_003519451.1	Clo1313_1642
ADU75158.1	Clo1313_2117
WP_003516075.1	Clo1313_0758
ADU75539.1	Clo1313_2535
WP_003516816.1	Clo1313_2870
ADU75827.1	Clo1313_2847
WP_003517500.1	Clo1313_0986
ADU74523.1	Clo1313_1461
WP_003517615.1	Clo1313_1684
ADU73325.1	Clo1313_0231
WP_003515328.1	Clo1313_0361
ADU73886.1	Clo1313_0817
ADU75868.1	Clo1313_2888
ADU75531.1	Clo1313_2526
WP_014522651.1	Clo1313_2671
WP_003514224.1	Clo1313_2771
ADU73784.1	Clo1313_0706
WP_003513564.1	Clo1313_2920
ADU75225.1	Clo1313_2185
WP_003517627.1	Clo1313_1678
WP_003515496.1	Clo1313_1246
WP_003516761.1	Clo1313_2741
ADU74875.1	Clo1313_1819
WP_003515661.1	Clo1313_1160
ADU73862.1	Clo1313_0789
ADU74016.1	Clo1313_0948
ADU75852.1	Clo1313_2872
WP_003521048.1	Clo1313_0128
ADU75239.1	Clo1313_2199
WP_003517637.1	Clo1313_1672
ADU74759.1	Clo1313_1702
WP_003515468.1	Clo1313_0174
WP_003518478.1	Clo1313_2938
WP_003512848.1	Clo1313_0254
WP_003517334.1	Clo1313_2345
WP_003517986.1	Clo1313_1732
ADU75553.1	Clo1313_2549
WP_003519030.1	Clo1313_1805
WP_003516709.1	Clo1313_2781
ADU73250.1	Clo1313_0154
WP_003519391.1	Clo1313_0880
WP_003515066.1	Clo1313_2818
WP_003517149.1	Clo1313_1368
ADU73191.1	Clo1313_0094
ADU75882.1	Clo1313_2902
ADU73417.1	Clo1313_0326
ADU75955.1	Clo1313_2977
WP_003514722.1	Clo1313_0505
WP_003512457.1	Clo1313_1940
WP_003513846.1	Clo1313_2576
WP_003517306.1	Clo1313_2359
ADU73636.1	Clo1313_0552
WP_003512473.1	Clo1313_1864
ADU75941.1	Clo1313_2963
ADU73954.1	Clo1313_0886
ADU74494.1	Clo1313_1432
WP_003520690.1	Clo1313_2378
ADU75186.1	Clo1313_2145
WP_003516328.1	Clo1313_1447
WP_003521554.1	Clo1313_0437
WP_003518067.1	Clo1313_2046
ADU75658.1	Clo1313_2661
ADU73835.1	Clo1313_0757
ADU75949.1	Clo1313_2971
WP_003515509.1	Clo1313_1240
ADU74771.1	Clo1313_1714
ADU75164.1	Clo1313_2123
WP_003515683.1	Clo1313_1148
ADU73448.1	Clo1313_0358
WP_003518751.1	Clo1313_1390
WP_003517455.1	Clo1313_1009
ADU75650.1	Clo1313_2651
ADU75697.1	Clo1313_2713
WP_003516312.1	Clo1313_1457
WP_003517475.1	Clo1313_1003
WP_003518077.1	Clo1313_2027
WP_003517824.1	Clo1313_2235
WP_003511591.1	Clo1313_0645
WP_003513424.1	Clo1313_2988
ADU73821.1	Clo1313_0743
ADU75205.1	Clo1313_2165
ADU73407.1	Clo1313_0316
WP_003521619.1	Clo1313_0856
ADU74743.1	Clo1313_1686
WP_003512659.1	Clo1313_1848
ADU74342.1	Clo1313_1279
WP_003518318.1	Clo1313_0829
ADU74211.1	Clo1313_1147
WP_003516556.1	Clo1313_1602
ADU74636.1	Clo1313_1575
ADU75278.1	Clo1313_2246
ADU73902.1	Clo1313_0833
ADU75723.1	Clo1313_2739
ADU75672.1	Clo1313_2682
WP_003519171.1	Clo1313_1080
WP_003514582.1	Clo1313_0430
ADU74767.1	Clo1313_1710
ADU73562.1	Clo1313_0473
WP_003519322.1	Clo1313_2596
WP_003518346.1	Clo1313_0135
WP_003515896.1	Clo1313_2448
WP_003521240.1	Clo1313_1172
ADU75024.1	Clo1313_1977
ADU74064.1	Clo1313_0996
ADU75291.1	Clo1313_2259
WP_003516617.1	Clo1313_1570
ADU73843.1	Clo1313_0766
WP_003515794.1	Clo1313_2499
ADU74279.1	Clo1313_1215
ADU74644.1	Clo1313_1583
ADU75299.1	Clo1313_2267
WP_003517925.1	Clo1313_1766
ADU75285.1	Clo1313_2253
WP_003521121.1	Clo1313_2287
ADU75016.1	Clo1313_1969
ADU74150.1	Clo1313_1086
WP_003514104.1	Clo1313_2709
WP_003517181.1	Clo1313_1357
WP_003518360.1	Clo1313_0107
WP_003513834.1	Clo1313_2568
ADU73535.1	Clo1313_0446
WP_003513053.1	Clo1313_0140
ADU73496.1	Clo1313_0407
WP_003516256.1	Clo1313_1493
WP_003517020.1	Clo1313_0932
WP_037294780.1	Clo1313_0288
WP_003513418.1	Clo1313_2994
ADU75139.1	Clo1313_2098
WP_003511954.1	Clo1313_2197
WP_003512074.1	Clo1313_2138
ADU74666.1	Clo1313_1605
WP_003519059.1	Clo1313_1792
WP_003515981.1	Clo1313_2417
WP_003520979.1	Clo1313_1543
ADU73239.1	Clo1313_0143
WP_003512518.1	Clo1313_1909
WP_003518316.1	Clo1313_0830
ADU75125.1	Clo1313_2084
WP_003514216.1	Clo1313_2763
ADU73960.1	Clo1313_0892
WP_003516504.1	Clo1313_1627
ADU74390.1	Clo1313_1327
WP_003520671.1	Clo1313_2388
WP_003513430.1	Clo1313_2984
ADU75372.1	Clo1313_2350
ADU73133.1	Clo1313_0033
ADU75584.1	Clo1313_2583
ADU75820.1	Clo1313_2840
WP_003519430.1	Clo1313_1077
ADU73225.1	Clo1313_0128
ADU73154.1	Clo1313_0055
ADU74557.1	Clo1313_1495
ADU73581.1	Clo1313_0492
ADU73942.1	Clo1313_0874
ADU74110.1	Clo1313_1042
ADU74277.1	Clo1313_1213
WP_003517548.1	Clo1313_0961
WP_003516932.1	Clo1313_0542
WP_003512705.1	Clo1313_1816
WP_003514694.1	Clo1313_0492
WP_003513388.1	Clo1313_3007
ADU74815.1	Clo1313_1758
ADU73122.1	Clo1313_0022
WP_003516986.1	Clo1313_0948
WP_003517494.1	Clo1313_0992
ADU75835.1	Clo1313_2855
WP_003515333.1	Clo1313_0356
WP_003518233.1	Clo1313_0866
ADU74913.1	Clo1313_1860
ADU74148.1	Clo1313_1084
ADU73668.1	Clo1313_0586
WP_003519057.1	Clo1313_1794
ADU75574.1	Clo1313_2572
WP_003515646.1	Clo1313_1167
