Protein	Locus
WP_080514905.1	Clo1313_0964
ADU75340.1	Clo1313_2317
WP_003513072.1	Clo1313_0133
WP_003518237.1	Clo1313_0864
ADU75360.1	Clo1313_2338
ADU73150.1	Clo1313_0051
ADU75115.1	Clo1313_2074
WP_003512514.1	Clo1313_1911
ADU73170.1	Clo1313_0072
ADU75076.1	Clo1313_2033
WP_003512015.1	Clo1313_2169
ADU73994.1	Clo1313_0926
WP_003515625.1	Clo1313_1178
ADU75368.1	Clo1313_2346
ADU75601.1	Clo1313_2601
ADU75851.1	Clo1313_2871
WP_003513507.1	Clo1313_2944
WP_003512192.1	Clo1313_2079
WP_003514690.1	Clo1313_0489
WP_003520661.1	Clo1313_2451
ADU73619.1	Clo1313_0535
WP_003518652.1	Clo1313_1257
ADU74612.1	Clo1313_1550
WP_003518906.1	Clo1313_2552
WP_003513162.1	Clo1313_0084
ADU74571.1	Clo1313_1509
ADU73664.1	Clo1313_0582
WP_003516107.1	Clo1313_0734
WP_003513529.1	Clo1313_2932
ADU74543.1	Clo1313_1481
ADU75603.1	Clo1313_2603
ADU73257.1	Clo1313_0162
WP_003519396.1	Clo1313_0877
ADU75107.1	Clo1313_2066
WP_003515650.1	Clo1313_1165
ADU75086.1	Clo1313_2045
ADU75274.1	Clo1313_2242
ADU74438.1	Clo1313_1375
ADU73308.1	Clo1313_0214
WP_003513304.1	Clo1313_0009
WP_003515283.1	Clo1313_0398
WP_003513139.1	Clo1313_0095
WP_003515609.1	Clo1313_1186
ADU75562.1	Clo1313_2558
ADU74301.1	Clo1313_1237
ADU73356.1	Clo1313_0264
ADU75423.1	Clo1313_2406
ADU74907.1	Clo1313_1854
ADU75911.1	Clo1313_2931
WP_003517981.1	Clo1313_1737
ADU75558.1	Clo1313_2554
ADU74796.1	Clo1313_1739
ADU74520.1	Clo1313_1458
WP_003518337.1	Clo1313_0141
ADU73605.1	Clo1313_0520
ADU74426.1	Clo1313_1363
ADU75976.1	Clo1313_2998
WP_003517794.1	Clo1313_2249
ADU75952.1	Clo1313_2974
WP_003512801.1	Clo1313_0280
WP_003512091.1	Clo1313_2133
WP_003514114.1	Clo1313_2714
WP_003513652.1	Clo1313_2875
ADU73466.1	Clo1313_0376
WP_003515767.1	Clo1313_1106
WP_003516319.1	Clo1313_1452
ADU74697.1	Clo1313_1636
WP_003513279.1	Clo1313_0023
WP_003518070.1	Clo1313_2042
ADU73370.1	Clo1313_0279
ADU74405.1	Clo1313_1342
WP_003516877.1	Clo1313_2807
ADU75904.1	Clo1313_2924
ADU75181.1	Clo1313_2140
ADU74687.1	Clo1313_1626
WP_003521553.1	Clo1313_0440
ADU74620.1	Clo1313_1558
WP_003512371.1	Clo1313_1986
ADU74404.1	Clo1313_1341
WP_003517442.1	Clo1313_1016
ADU73198.1	Clo1313_0101
ADU73759.1	Clo1313_0679
WP_003517997.1	Clo1313_1721
ADU74216.1	Clo1313_1152
WP_003519505.1	Clo1313_2572
WP_003513265.1	Clo1313_0032
ADU74375.1	Clo1313_1312
ADU73306.1	Clo1313_0211
WP_003517233.1	Clo1313_1329
WP_003515021.1	Clo1313_0309
WP_003519108.1	Clo1313_1026
WP_003517217.1	Clo1313_1337
WP_003517581.1	Clo1313_1701
ADU74584.1	Clo1313_1522
ADU74053.1	Clo1313_0985
WP_003515919.1	Clo1313_2437
ADU74728.1	Clo1313_1671
ADU73848.1	Clo1313_0772
ADU74077.1	Clo1313_1009
WP_003513147.1	Clo1313_0091
WP_003513286.1	Clo1313_0018
ADU74220.1	Clo1313_1156
WP_003520981.1	Clo1313_1539
WP_003514194.1	Clo1313_2751
ADU74361.1	Clo1313_1298
ADU74976.1	Clo1313_1926
ADU75730.1	Clo1313_2746
ADU75665.1	Clo1313_2670
WP_003517595.1	Clo1313_1694
ADU73896.1	Clo1313_0827
WP_003513995.1	Clo1313_2649
WP_037294838.1	Clo1313_1448
WP_003513250.1	Clo1313_0040
ADU74886.1	Clo1313_1830
ADU73704.1	Clo1313_0624
ADU75252.1	Clo1313_2215
ADU75679.1	Clo1313_2691
WP_003519973.1	Clo1313_0031
WP_003520010.1	Clo1313_0769
ADU73491.1	Clo1313_0401
WP_003515939.1	Clo1313_2430
WP_003515408.1	Clo1313_0266
WP_003519130.1	Clo1313_1100
WP_003515176.1	Clo1313_2810
WP_003516596.1	Clo1313_1578
ADU75484.1	Clo1313_2471
ADU73551.1	Clo1313_0462
WP_003513685.1	Clo1313_2849
WP_004463183.1	Clo1313_1728
WP_003517862.1	Clo1313_2135
WP_003514324.1	Clo1313_0329
WP_003518006.1	Clo1313_1713
WP_003516203.1	Clo1313_1517
WP_003517567.1	Clo1313_1705
WP_003518242.1	Clo1313_0861
ADU74167.1	Clo1313_1103
WP_003513691.1	Clo1313_2847
ADU74504.1	Clo1313_1442
ADU74116.1	Clo1313_1048
WP_003512844.1	Clo1313_0256
ADU73478.1	Clo1313_0388
WP_003518285.1	Clo1313_0846
ADU75327.1	Clo1313_2300
ADU75764.1	Clo1313_2780
WP_003511780.1	Clo1313_0742
ADU75132.1	Clo1313_2091
WP_003512244.1	Clo1313_2057
WP_003517434.1	Clo1313_1020
ADU74732.1	Clo1313_1675
ADU74143.1	Clo1313_1079
ADU73721.1	Clo1313_0641
ADU73929.1	Clo1313_0861
WP_003515917.1	Clo1313_2438
WP_003516789.1	Clo1313_2705
ADU74794.1	Clo1313_1737
ADU75343.1	Clo1313_2321
ADU73949.1	Clo1313_0881
ADU73118.1	Clo1313_0018
WP_003516481.1	Clo1313_1638
WP_003513407.1	Clo1313_3000
WP_003513932.1	Clo1313_2617
WP_003516077.1	Clo1313_0757
WP_003512852.1	Clo1313_0252
WP_014522610.1	Clo1313_1021
ADU73935.1	Clo1313_0867
