Protein	Cluster
WP_003516875.1	21
WP_003512592.1	4
WP_003516878.1	1
WP_003517996.1	13
WP_003516668.1	12
WP_003517948.1	20
WP_003517461.1	9
WP_003513635.1	14
WP_003517243.1	1
WP_003518452.1	3
WP_003513649.1	20
WP_003515020.1	1
WP_003513594.1	20
WP_003518450.1	26
WP_003515750.1	1
WP_003520172.1	1
WP_003518761.1	1
WP_003516337.1	7
WP_003515760.1	12
WP_003512596.1	1
WP_003518763.1	17
WP_003512777.1	2
WP_003512590.1	4
WP_003516308.1	13
WP_003513639.1	1
WP_003517200.1	15
WP_014522619.1	25
WP_003517230.1	2
WP_003514910.1	33
WP_003520176.1	1
WP_003513251.1	21
WP_003512598.1	4
WP_003517663.1	1
WP_003514187.1	3
WP_003516780.1	5
WP_003512576.1	9
WP_003515877.1	29
WP_003519233.1	4
WP_003517444.1	11
WP_003514918.1	12
WP_003515875.1	1
WP_003521255.1	4
WP_003512252.1	16
WP_003517649.1	1
WP_003512250.1	25
WP_003514863.1	3
WP_003514024.1	26
WP_003516148.1	3
WP_003512109.1	2
WP_003516233.1	0
WP_003515936.1	1
WP_003518001.1	19
WP_003516235.1	31
WP_003512264.1	2
ADU74168.1	6
WP_003515879.1	12
WP_003512844.1	21
WP_003515381.1	2
WP_003519113.1	5
ADU73938.1	16
ADU73817.1	8
WP_003512772.1	3
WP_003516583.1	7
WP_003514760.1	1
WP_003517161.1	18
WP_003518251.1	2
WP_003512794.1	12
WP_003517651.1	20
WP_003515910.1	21
WP_003517653.1	7
WP_003519094.1	1
WP_003517379.1	1
WP_003515912.1	5
WP_003513862.1	2
WP_003517383.1	10
WP_003513130.1	1
WP_003516239.1	5
WP_003517381.1	33
WP_003511677.1	2
WP_014522611.1	20
WP_003516160.1	15
WP_003516142.1	9
WP_003514085.1	3
WP_003517377.1	1
WP_003515545.1	10
WP_003517391.1	5
WP_003512494.1	30
WP_003512578.1	11
WP_003513763.1	1
WP_003514231.1	22
WP_003515361.1	3
WP_003514745.1	0
WP_003514580.1	4
WP_003512173.1	1
WP_003518386.1	2
WP_003512113.1	2
WP_003511675.1	0
WP_003517641.1	0
WP_003512254.1	20
WP_003519374.1	6
WP_003516518.1	19
WP_003518709.1	11
WP_014522587.1	2
WP_003515373.1	2
WP_003512101.1	3
WP_003513352.1	3
WP_003517868.1	7
WP_003517405.1	1
WP_003516155.1	1
WP_003520913.1	14
WP_003514601.1	8
WP_003515363.1	9
WP_003520929.1	15
WP_003511615.1	8
WP_003519241.1	1
WP_014522599.1	3
WP_003512682.1	3
WP_003517965.1	16
WP_003511571.1	10
WP_003511665.1	29
WP_003513147.1	12
WP_003518688.1	1
WP_003513777.1	13
WP_003513767.1	2
WP_003517434.1	14
WP_003517722.1	5
WP_003514630.1	2
WP_003515736.1	18
WP_003516075.1	3
WP_003517073.1	1
WP_003511746.1	0
WP_003517284.1	3
WP_003518614.1	9
WP_014522595.1	22
WP_003517264.1	7
WP_003518616.1	11
WP_003513783.1	28
WP_003519039.1	18
WP_003517266.1	6
WP_003514814.1	1
WP_003519037.1	33
WP_003514597.1	25
WP_041740033.1	3
WP_003513452.1	4
WP_003517597.1	3
WP_003515738.1	2
WP_003513882.1	15
WP_003512025.1	19
WP_003519444.1	10
WP_003518538.1	2
WP_003518175.1	11
WP_003517257.1	3
WP_003512944.1	0
WP_003518901.1	31
WP_003517259.1	7
WP_003516413.1	5
WP_003517067.1	17
WP_003517268.1	25
WP_003513209.1	12
WP_003514599.1	12
WP_003511986.1	18
WP_003512380.1	17
WP_003514245.1	9
WP_003514166.1	2
WP_003517069.1	7
WP_003513773.1	3
WP_003512382.1	23
WP_003515943.1	2
WP_003517666.1	21
WP_003512583.1	8
WP_003513219.1	18
WP_003513674.1	3
WP_003517085.1	21
WP_003515463.1	7
WP_003516815.1	17
WP_003518280.1	11
WP_003520339.1	1
WP_003513588.1	32
WP_014522626.1	28
WP_003513207.1	12
WP_003518401.1	2
WP_003518540.1	27
WP_003517142.1	16
WP_003518542.1	1
WP_003519206.1	12
WP_003517602.1	2
WP_003520327.1	7
ADU75526.1	8
WP_003515019.1	12
WP_003516421.1	1
WP_003516876.1	23
WP_003514589.1	1
WP_003512291.1	13
WP_003513362.1	4
WP_003514134.1	29
WP_003511558.1	22
WP_003518536.1	0
WP_003515456.1	27
WP_003517630.1	16
WP_003513364.1	1
ADU74708.1	6
WP_003515678.1	1
WP_003515458.1	16
WP_003518809.1	1
WP_003513366.1	12
WP_003512636.1	0
WP_003517769.1	21
WP_003516839.1	1
WP_003517192.1	3
WP_003518726.1	1
WP_003516435.1	9
WP_003518807.1	24
WP_003514737.1	16
WP_003517374.1	3
WP_003518801.1	1
WP_003517026.1	8
WP_003518034.1	18
WP_003517378.1	1
WP_003516282.1	26
WP_003516364.1	6
WP_003518813.1	17
WP_003519089.1	6
WP_003519329.1	1
WP_003516284.1	25
WP_003517715.1	2
WP_003515550.1	6
WP_003516286.1	4
WP_003517815.1	26
WP_003513296.1	2
WP_003517194.1	30
WP_003513368.1	2
WP_003515690.1	20
WP_003518724.1	28
WP_003514158.1	14
WP_003516358.1	1
WP_003512126.1	20
WP_003513423.1	1
WP_003515852.1	16
ADU73917.1	21
WP_003518590.1	4
WP_003512104.1	1
WP_003512915.1	9
WP_003514304.1	10
WP_003517454.1	5
WP_003519228.1	2
WP_003517408.1	22
WP_003515563.1	9
WP_003514658.1	6
WP_003512648.1	23
WP_003517797.1	11
WP_003519337.1	10
WP_003519170.1	8
WP_003513758.1	1
WP_003517773.1	19
WP_003518633.1	2
WP_003518893.1	12
WP_003515069.1	27
WP_003516356.1	14
WP_003512130.1	20
WP_003519140.1	1
WP_003513756.1	2
WP_003516354.1	13
WP_003513950.1	2
WP_003515575.1	19
WP_003515789.1	5
WP_003516513.1	3
WP_003516352.1	10
WP_003516374.1	8
WP_003512106.1	1
WP_003516515.1	1
WP_003517994.1	2
WP_003518885.1	3
WP_003515698.1	4
WP_003516243.1	11
WP_003517719.1	6
WP_003513578.1	2
WP_003513182.1	18
WP_003517791.1	17
WP_003519168.1	2
WP_003513964.1	18
WP_003517198.1	0
WP_003518631.1	5
WP_003513825.1	2
WP_003518355.1	29
WP_003512132.1	18
WP_037294696.1	33
WP_003514117.1	16
WP_003518642.1	14
WP_003512662.1	7
WP_003518396.1	5
WP_003512660.1	8
WP_003517011.1	6
WP_003516241.1	16
WP_003515342.1	15
WP_003514656.1	18
WP_003511947.1	26
ADU73149.1	31
WP_003516246.1	33
WP_003517537.1	1
WP_003518361.1	6
WP_003514207.1	3
WP_003516251.1	15
WP_003519286.1	6
WP_003516249.1	1
WP_003516525.1	15
WP_003516913.1	3
WP_003517512.1	13
WP_003513222.1	8
WP_003512864.1	29
WP_003514987.1	6
WP_003513015.1	0
WP_003519058.1	1
WP_003516259.1	15
WP_003512034.1	3
WP_003515787.1	0
WP_003514215.1	1
WP_003516416.1	4
WP_003517040.1	3
WP_003512197.1	1
WP_003511951.1	21
WP_003517062.1	9
WP_003514230.1	1
WP_003513419.1	19
WP_003516905.1	10
WP_003517060.1	24
