C0 (167 genes)	C1 (76 genes)	C2 (56 genes)	C3 (19 genes)	C4 (16 genes)	C5 (51 genes)	C6 (32 genes)	C7 (41 genes)	C8 (84 genes)	C9 (51 genes)	C10 (79 genes)	C11 (56 genes)	C12 (41 genes)	C13 (17 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
WP_003513989.1	WP_003517452.1	WP_003520327.1						WP_003516730.1		WP_003517772.1	WP_003519170.1		
WP_003514026.1	WP_003517491.1	WP_003520894.1						WP_003516839.1		WP_003517778.1	WP_003519444.1		
WP_003514075.1	WP_003517507.1	WP_003520963.1						WP_003517230.1		WP_003517940.1	WP_011837932.1		
WP_003514458.1	WP_003517592.1	WP_003520966.1						WP_003517440.1		WP_003517995.1	WP_014522596.1		
WP_003514575.1	WP_003517630.1							WP_003517485.1		WP_003518175.1			
WP_003514589.1	WP_003517817.1							WP_003517535.1		WP_003518305.1			
WP_003514804.1	WP_003518355.1							WP_003517629.1		WP_003518458.1			
WP_003514814.1	WP_003518533.1							WP_003517641.1		WP_003518557.1			
WP_003515018.1	WP_003518584.1							WP_003517648.1		WP_003518607.1			
WP_003515025.1	WP_003518656.1							WP_003517649.1		WP_003518688.1			
WP_003515048.1	WP_003518669.1							WP_003517653.1		WP_003518725.1			
WP_003515275.1	WP_003518726.1							WP_003517752.1		WP_003518738.1			
WP_003515449.1	WP_003519012.1							WP_003517938.1		WP_003518876.1			
WP_003515482.1	WP_003519058.1							WP_003518177.1		WP_003518897.1			
WP_003515511.1	WP_003519089.1							WP_003518251.1		WP_003518959.1			
WP_003515523.1	WP_003519151.1							WP_003518386.1		WP_003519059.1			
WP_003515565.1	WP_003519322.1							WP_003518444.1		WP_003519072.1			
WP_003515632.1	WP_003519374.1							WP_003518655.1		WP_003519094.1			
WP_003515663.1	WP_003519433.1							WP_003518684.1		WP_003519255.1			
WP_003515675.1	WP_003519451.1							WP_003518763.1		WP_003519332.1			
WP_003515760.1	WP_003519663.1							WP_003518853.1		WP_003519369.1			
WP_003515816.1	WP_003520526.1							WP_003518855.1		WP_003520265.1			
WP_003515850.1	WP_003520929.1							WP_003518900.1		WP_003520820.1			
WP_003515873.1	WP_014522658.1							WP_003518982.1		WP_003520969.1			
WP_003515926.1								WP_003519009.1		WP_003521240.1			
WP_003515936.1								WP_003519057.1		WP_014522594.1			
WP_003515942.1								WP_003519111.1		WP_014522610.1			
WP_003516080.1								WP_003519228.1					
WP_003516103.1								WP_003519296.1					
WP_003516155.1								WP_003519477.1					
WP_003516203.1								WP_003520661.1					
WP_003516217.1								WP_004463776.1					
WP_003516246.1													
WP_003516266.1													
WP_003516308.1													
WP_003516358.1													
WP_003516388.1													
WP_003516527.1													
WP_003516564.1													
WP_003516624.1													
WP_003516738.1													
WP_003516863.1													
WP_003516875.1													
WP_003516902.1													
WP_003516975.1													
WP_003516984.1													
WP_003517139.1													
WP_003517192.1													
WP_003517194.1													
WP_003517282.1													
WP_003517348.1													
WP_003517350.1													
WP_003517352.1													
WP_003517353.1													
WP_003517355.1													
WP_003517357.1													
WP_003517362.1													
WP_003517366.1													
WP_003517374.1													
WP_003517375.1													
WP_003517377.1													
WP_003517378.1													
WP_003517379.1													
WP_003517463.1													
WP_003517480.1													
WP_003517489.1													
WP_003517504.1													
WP_003517527.1													
WP_003517534.1													
WP_003517548.1													
WP_003517611.1													
WP_003517619.1													
WP_003517747.1													
WP_003517768.1													
WP_003517773.1													
WP_003517877.1													
WP_003517903.1													
WP_003517988.1													
WP_003518049.1													
WP_003518117.1													
WP_003518129.1													
WP_003518225.1													
WP_003518318.1													
WP_003518452.1													
WP_003518478.1													
WP_003518483.1													
WP_003518542.1													
WP_003518649.1													
WP_003518662.1													
WP_003518745.1													
WP_003518801.1													
WP_003518814.1													
WP_003518875.1													
WP_003518917.1													
WP_003518927.1													
WP_003518953.1													
WP_003518957.1													
WP_003518976.1													
WP_003519106.1													
WP_003519140.1													
WP_003519204.1													
WP_003519241.1													
WP_003519257.1													
WP_003519349.1													
WP_003519398.1													
WP_003520472.1													
WP_003520552.1													
WP_003520705.1													
WP_003520766.1													
WP_003520797.1													
WP_003520980.1													
WP_003521254.1													
WP_003521330.1													
WP_014522588.1													
WP_014522626.1													
